MIDDLE ENGLISH MEDICAL VOCABULARY DATABASE
======================================================================

Total terms: 29107


HERBS:
----------------------------------------------------------------------
serue                        2,215 occurrences (partial_match)
arue                            10 occurrences (partial_match)
endlefte                        10 occurrences (partial_match)
herbage                         10 occurrences (partial_match)
highworth                       10 occurrences (partial_match)
marwe                           10 occurrences (partial_match)
inclusede                       10 occurrences (partial_match)
ffloures                        10 occurrences (partial_match)
arwen                           10 occurrences (partial_match)
enlefte                         10 occurrences (partial_match)
derworthli                      10 occurrences (partial_match)
stalworthli                     10 occurrences (partial_match)
fetherbed                       10 occurrences (partial_match)
thorwe                           9 occurrences (partial_match)
lefys                            9 occurrences (partial_match)
feruente                         9 occurrences (partial_match)
halsede                          9 occurrences (partial_match)
stallworth                       9 occurrences (partial_match)
iserued                          9 occurrences (partial_match)
willefully                       9 occurrences (partial_match)
flouryng                         9 occurrences (partial_match)
urue                             9 occurrences (partial_match)
sorue                            9 occurrences (partial_match)
blesseden                        9 occurrences (partial_match)
merueylis                        9 occurrences (partial_match)
vnworthier                       9 occurrences (partial_match)
preysede                         9 occurrences (partial_match)
herberwed                        9 occurrences (partial_match)
vysages                          9 occurrences (partial_match)
sedet                            9 occurrences (partial_match)
porueide                         9 occurrences (partial_match)
lynseed                          9 occurrences (partial_match)
bosworth                         9 occurrences (partial_match)
vorsede                          9 occurrences (partial_match)
fullefyllede                     9 occurrences (partial_match)
worthen                          9 occurrences (partial_match)
worthid                          9 occurrences (partial_match)
bruet                            9 occurrences (partial_match)
scrassageras                     9 occurrences (partial_match)
ffarwell                         9 occurrences (partial_match)
herborewe                        8 occurrences (partial_match)
rooted                           8 occurrences (partial_match)
herberewe                        8 occurrences (partial_match)
merueyl                          8 occurrences (partial_match)
sederunt                         8 occurrences (partial_match)
deseruet                         8 occurrences (partial_match)
herberles                        8 occurrences (partial_match)
grwe                             8 occurrences (partial_match)
merueilously                     8 occurrences (partial_match)
sedens                           8 occurrences (partial_match)
preyseden                        8 occurrences (partial_match)
peisede                          8 occurrences (partial_match)
cruetis                          8 occurrences (partial_match)
